Long Moment (emu)	Temperature (K)	Field (Oe)	Error
-1.150230e-001	2.011123e+000	1.000000e+002	0
-1.148824e-001	3.089313e+000	1.000000e+002	0
-1.147469e-001	3.989914e+000	1.000000e+002	0
-1.146424e-001	5.002578e+000	1.000000e+002	0
-1.145555e-001	6.017757e+000	1.000000e+002	0
-1.144644e-001	6.993667e+000	1.000000e+002	0
-1.143633e-001	7.988443e+000	1.000000e+002	0
-1.142646e-001	9.005821e+000	1.000000e+002	0
-1.141813e-001	1.001750e+001	1.000000e+002	0
-1.130392e-001	2.000963e+001	1.000000e+002	0
-1.107365e-001	3.000910e+001	1.000000e+002	0
-1.066555e-001	3.997417e+001	1.000000e+002	0
-9.997994e-002	5.004359e+001	1.000000e+002	0
-8.901601e-002	6.013203e+001	1.000000e+002	0
-7.097771e-002	7.011624e+001	1.000000e+002	0
-4.418725e-002	8.003993e+001	1.000000e+002	0
-3.225065e-002	8.331566e+001	1.000000e+002	0
-2.125747e-002	8.622198e+001	1.000000e+002	0
-8.951623e-003	8.922719e+001	1.000000e+002	0
-1.405251e-006	9.221654e+001	1.000000e+002	0
7.115161e-006	9.524219e+001	1.000000e+002	0
5.584166e-006	1.001451e+002	1.000000e+002	0
4.253052e-006	1.052327e+002	1.000000e+002	0
5.981704e-006	1.103185e+002	1.000000e+002	0
5.528432e-006	1.153663e+002	1.000000e+002	0
6.185897e-006	1.203676e+002	1.000000e+002	0
5.437772e-006	1.181737e+002	1.000000e+002	0
6.091456e-006	1.100713e+002	1.000000e+002	0
5.615598e-006	1.060784e+002	1.000000e+002	0
5.331703e-006	1.024423e+002	1.000000e+002	0
4.979109e-006	9.607761e+001	1.000000e+002	0
2.492347e-006	9.399252e+001	1.000000e+002	0
-7.727491e-003	8.967514e+001	1.000000e+002	0
-1.584747e-002	8.618577e+001	1.000000e+002	0
-2.212257e-002	8.330923e+001	1.000000e+002	0
-2.659558e-002	8.022636e+001	1.000000e+002	0
-3.599281e-002	7.015458e+001	1.000000e+002	0
-4.013303e-002	5.997200e+001	1.000000e+002	0
-4.214543e-002	4.999752e+001	1.000000e+002	0
-4.337959e-002	4.001674e+001	1.000000e+002	0
-4.411737e-002	2.998539e+001	1.000000e+002	0
-4.456036e-002	1.995144e+001	1.000000e+002	0
-4.485482e-002	1.006946e+001	1.000000e+002	0
-4.487626e-002	8.932567e+000	1.000000e+002	0
-4.489695e-002	8.085558e+000	1.000000e+002	0
-4.491601e-002	6.986380e+000	1.000000e+002	0
-4.493219e-002	5.970368e+000	1.000000e+002	0
-4.494724e-002	4.984634e+000	1.000000e+002	0
-4.495610e-002	3.972976e+000	1.000000e+002	0
-4.496710e-002	2.989707e+000	1.000000e+002	0
-4.495316e-002	1.984122e+000	1.000000e+002	0
